"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1021938,"December 31, 2017",Alabama,Selma,"1700 block of Water Ave",0,2,N/A,32.43372,-87.055532,0.33,place,,,,,Selma,AL,"Dallas County",36701,US,"TIGER/Line® dataset from the US Census Bureau"
1021362,"December 31, 2017",Texas,Kilgore,"1910 Meadowgreen Dr",1,0,N/A,32.372368,-94.842922,1,range_interpolation,1910,"Meadowgreen Dr",,,Kilgore,TX,"Gregg County",75662,US,"TIGER/Line® dataset from the US Census Bureau"
1018010,"December 31, 2017",Alabama,Huntsville,"1409 Lancewood Dr NW",0,1,N/A,34.737807,-86.635643,1,rooftop,1409,"Lancewood Dr NW",,,Huntsville,AL,"Madison County",35816,US,Madison
1023659,"December 31, 2017","North Carolina",Elizabethtown,"968 Jacobs Loop Rd",0,1,N/A,34.62934,-78.60529,0.33,place,,,,,Elizabethtown,NC,"Bladen County",28337,US,"TIGER/Line® dataset from the US Census Bureau"
1017993,"December 31, 2017",Georgia,Atlanta,"Glenwood Ave",0,1,N/A,33.844371,-84.47405,0.33,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
1020019,"December 31, 2017",Washington,Marysville,"5115 84th St NE",0,0,N/A,48.071958,-122.162212,1,range_interpolation,5115,"84th St NE",,,Marysville,WA,"Snohomish County",98270,US,"TIGER/Line® dataset from the US Census Bureau"
1017947,"December 31, 2017",Michigan,Ypsilanti,"Cliffs Dr",1,0,N/A,42.223127,-83.598134,1,street_center,,"Cliffs Dr",,,Ypsilanti,MI,"Washtenaw County",48198,US,"TIGER/Line® dataset from the US Census Bureau"
1017986,"December 31, 2017",Texas,Lubbock,"6002 Slide Rd",0,0,N/A,33.538679,-101.925231,1,rooftop,6002,"Slide Rd",,,Lubbock,TX,"Lubbock County",79414,US,Lubbock
1018774,"December 31, 2017",Virginia,Chesapeake,"600 block of Happy Acres",0,1,N/A,36.749991,-76.218759,0.33,place,,,,,Chesapeake,VA,"Chesapeake City",23320,US,"TIGER/Line® dataset from the US Census Bureau"
1018059,"December 31, 2017",Alaska,Anchorage,"1000 block of W 26th Ave",0,0,N/A,61.220018,-149.855702,0.33,place,,,,,Anchorage,AK,"Anchorage Municipality",99501,US,"TIGER/Line® dataset from the US Census Bureau"
1018763,"December 31, 2017",Arkansas,Fayetteville,"3215 N Northhills Blvd",0,0,N/A,36.109291,-94.160008,1,rooftop,3215,"N Northhills Blvd",,,Fayetteville,AR,"Washington County",72703,US,"City of Fayetteville"
1017868,"December 31, 2017",Oklahoma,"Oklahoma City","1111 S Eastern Ave",0,1,N/A,35.453457,-97.479019,1,rooftop,1111,"S Eastern Ave",,,"Oklahoma City",OK,"Oklahoma County",73129,US,Oklahoma
1017484,"December 31, 2017",Florida,Orlando,"I-4 and Kirkman Rd",0,3,N/A,28.477861,-81.458916,0.31,intersection,,"S Kirkman Rd",,,Orlando,FL,"Orange County",32819,US,"TIGER/Line® dataset from the US Census Bureau"
1017977,"December 31, 2017",Minnesota,"Stillwater (Oak Park Heights)","14800 block of 57th St N",0,0,N/A,45.702225,-93.816445,0.33,place,,,,,"Oak Park",MN,"Benton County",56357,US,"TIGER/Line® dataset from the US Census Bureau"
1052098,"December 31, 2017",Texas,"San Antonio","1600 block of Mardell St",1,0,N/A,29.468413,-98.528889,0.33,place,,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
1161485,"December 31, 2017",Arkansas,"North Little Rock","5612 John F Kennedy Blvd",0,0,N/A,34.807019,-92.250236,1,range_interpolation,5612,"John F Kennedy Blvd",,,"North Little Rock",AR,"Pulaski County",72116,US,"TIGER/Line® dataset from the US Census Bureau"
1078962,"December 31, 2017","North Carolina",Engelhard,"N Lake Rd",0,0,N/A,35.531669,-76.030657,1,street_center,,"N Lake Rd",,,Engelhard,NC,"Hyde County",27824,US,"TIGER/Line® dataset from the US Census Bureau"
1019108,"December 31, 2017",Colorado,Denver,"214 S Federal Blvd",1,0,N/A,39.712703,-105.024676,1,rooftop,214,"S Federal Blvd",,,Denver,CO,"Denver County",80219,US,Denver
1017997,"December 31, 2017",Missouri,Florissant,"11300 block of Bristol Rock Rd",1,0,N/A,38.734543,-90.403633,0.8,rooftop,11300,"Blake Dr",,,"Saint Ann",MO,"St. Louis County",63074,US,"St Louis"
1017788,"December 31, 2017","New York",Brooklyn,"E 15th St and Ave S",0,1,N/A,42.994788,-76.532718,0.2,place,,,,,Sennett,NY,"Cayuga County",13150,US,"TIGER/Line® dataset from the US Census Bureau"
1031302,"December 31, 2017",California,Northridge,"8644 Balboa Blvd",1,0,N/A,34.227972,-118.502408,1,rooftop,8644,"Balboa Blvd",,,Northridge,CA,"Los Angeles County",91325,US,"Los Angeles"
1025819,"December 31, 2017","South Carolina",Florence,"500 S Ballard St",1,0,N/A,34.190485,-79.750997,1,rooftop,500,"S Ballard St",,,Florence,SC,"Florence County",29506,US,Florence
1019944,"December 31, 2017",California,"San Diego","Teak St and S 38th Street",1,0,N/A,32.700758,-117.112501,1,intersection,,"S 38th St",,,"San Diego",CA,"San Diego County",92113,US,"TIGER/Line® dataset from the US Census Bureau"
1018459,"December 31, 2017",Missouri,Columbia,"1612 N Providence Rd",0,0,N/A,38.970398,-92.332001,1,rooftop,1612,"N Providence Rd",,,Columbia,MO,"Boone County",65202,US,Boone
1021272,"December 31, 2017",Georgia,Mableton,"Felton Ln",0,0,N/A,33.784548,-84.545233,1,street_center,,"Felton Ln",,,Mableton,GA,"Cobb County",30126,US,"TIGER/Line® dataset from the US Census Bureau"
1018456,"December 31, 2017",California,Bakersfield,"1101 E Belle Ter",0,0,N/A,35.346365,-118.988552,0.87,rooftop,1101,"E Belle Ter",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield"
1017714,"December 31, 2017",California,"Los Angeles","869 S Western Ave",0,1,N/A,34.05627,-118.30924,1,rooftop,869,"S Western Ave",,,"Los Angeles",CA,"Los Angeles County",90005,US,"City of Los Angeles"
1018229,"December 31, 2017",Georgia,Augusta,"1814 Fayetteville Dr",1,0,N/A,33.447653,-82.014457,1,rooftop,1814,"Fayetteville Dr",,,Augusta,GA,"Richmond County",30904,US,Richmond
1018693,"December 31, 2017",Texas,"San Antonio","1227 Quintana Rd",0,0,N/A,29.376941,-98.553511,1,rooftop,1227,"Quintana Rd",,,"San Antonio",TX,"Bexar County",78211,US,"San Antonio"
1018887,"December 31, 2017",Wisconsin,Milwaukee,"N 40th St and W Sheridan Ave",1,0,N/A,43.117438,-87.962351,1,intersection,,"N 40th St",,,Milwaukee,WI,"Milwaukee County",53209,US,"TIGER/Line® dataset from the US Census Bureau"
1017954,"December 31, 2017","North Carolina",Charlotte,"500 Block of Capps Hill Mine Rd",0,1,N/A,35.26002,-80.804151,0.33,place,,,,,Charlotte,NC,"Mecklenburg County",28201,US,"TIGER/Line® dataset from the US Census Bureau"
1017956,"December 31, 2017","North Carolina",Charlotte,"6600 Block of Elgywood Ln",0,1,N/A,35.26002,-80.804151,0.33,place,,,,,Charlotte,NC,"Mecklenburg County",28201,US,"TIGER/Line® dataset from the US Census Bureau"
1017749,"December 31, 2017",Texas,"Fort Worth","5800 block of Hiett Ct",0,2,N/A,32.771419,-97.291484,0.33,place,,,,,"Fort Worth",TX,"Tarrant County",76101,US,"TIGER/Line® dataset from the US Census Bureau"
1018661,"December 31, 2017",Illinois,Joliet,"900 Rosalind St",2,0,N/A,41.553213,-88.061084,1,rooftop,900,"Rosalind St",,,Joliet,IL,"Will County",60432,US,Will
1019967,"December 31, 2017",California,Richmond,"600 block of South 21st St",0,0,N/A,37.947523,-122.384032,0.33,place,,,,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
1017958,"December 31, 2017",Illinois,Chicago,"7300 S Sangamon St",0,1,N/A,41.761352,-87.64831,1,rooftop,7300,"S Sangamon St",,,Chicago,IL,"Cook County",60621,US,"City of Chicago"
1017764,"December 31, 2017",California,Delano,"2100 block of Norwalk St",1,0,N/A,35.779507,-119.200825,0.33,place,,,,,Delano,CA,"Kern County",93215,US,"TIGER/Line® dataset from the US Census Bureau"
1020131,"December 31, 2017",Massachusetts,Canton,"Randolph St",0,0,N/A,42.181225,-71.106793,1,street_center,,"Randolph St",,,Canton,MA,"Norfolk County",02021,US,"TIGER/Line® dataset from the US Census Bureau"
1021222,"December 31, 2017",Washington,"University Place","6300 block of 54th St W",0,0,N/A,47.203279,-122.567719,0.33,place,,,,,"University Place",WA,"Pierce County",98467,US,"TIGER/Line® dataset from the US Census Bureau"
1021518,"December 31, 2017","New Mexico","Mesilla Park","9000 block of Clovis Rd",0,0,N/A,32.210041,-106.71469,0.33,place,,,,,"Mesilla Park",NM,"Doña Ana County",88047,US,"TIGER/Line® dataset from the US Census Bureau"
1017945,"December 31, 2017",Oregon,Eugene,"W 13th Ave and Polk St",0,0,N/A,44.045532,-123.112527,1,intersection,,"Polk St",,,Eugene,OR,"Lane County",97402,US,"TIGER/Line® dataset from the US Census Bureau"
1019165,"December 31, 2017",Texas,Highlands,"Mizell St",1,0,N/A,29.805634,-95.048523,1,street_center,,"Mizell St",,,Highlands,TX,"Harris County",77562,US,"TIGER/Line® dataset from the US Census Bureau"
1018532,"December 31, 2017",Virginia,Hopewell,"2400 block of Wakefield Street",1,0,N/A,37.286676,-77.296596,0.33,place,,,,,Hopewell,VA,"Hopewell City",23860,US,"TIGER/Line® dataset from the US Census Bureau"
1018079,"December 31, 2017",Nevada,"Las Vegas","4800 block of Chantilly Ave",1,0,N/A,36.17372,-115.10647,0.33,place,,,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
1018282,"December 31, 2017",Texas,Austin,"4800 block of Doss Rd",1,0,N/A,30.268335,-97.741382,0.33,place,,,,,Austin,TX,"Travis County",78701,US,"TIGER/Line® dataset from the US Census Bureau"
1018845,"December 31, 2017",Colorado,"Fort Lupton","200 block of McKinley Ave",0,1,N/A,40.107238,-104.801094,0.33,place,,,,,"Fort Lupton",CO,"Weld County",80621,US,"TIGER/Line® dataset from the US Census Bureau"
1019020,"December 31, 2017",Mississippi,Cleveland,N/A,1,0,N/A,33.758855,-90.725595,0.33,place,,,,,Cleveland,MS,"Bolivar County",38732,US,"TIGER/Line® dataset from the US Census Bureau"
1017876,"December 31, 2017",Massachusetts,Boston,"Blue Hill Ave and Sunderland St",0,0,N/A,42.310255,-71.082011,1,intersection,,"Blue Hill Ave",,,Boston,MA,"Suffolk County",02121,US,"TIGER/Line® dataset from the US Census Bureau"
1018157,"December 31, 2017",Florida,"Fort Lauderdale (Lauderhill)","5300 block of NW 17th Ct",1,0,N/A,26.140364,-80.213381,0.27,place,,,,,Lauderhill,FL,"Broward County",33313,US,"TIGER/Line® dataset from the US Census Bureau"
1018218,"December 31, 2017","New Jersey",Trenton,"100 block of Brown St",1,1,N/A,40.273784,-74.68902,0.57,nearest_rooftop_match,34,"Black Rd",,,"Lawrence Township",NJ,"Mercer County",08648,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
1133679,"December 31, 2017","South Carolina","Myrtle Beach","3506 US 501",0,0,N/A,33.701841,-78.903425,0.6,street_center,,"US Hwy 501",,,"Myrtle Beach",SC,"Horry County",29577,US,"TIGER/Line® dataset from the US Census Bureau"
1017597,"December 31, 2017",Illinois,Chicago,N/A,0,1,N/A,41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
1019687,"December 31, 2017",Wisconsin,Sheboygan,"1500 block of Martin Ave",0,0,N/A,43.761289,-87.720739,1,range_interpolation,1500,"Block Ct",,,Sheboygan,WI,"Sheboygan County",53081,US,"TIGER/Line® dataset from the US Census Bureau"
1018786,"December 31, 2017",Virginia,Norfolk,"300 block of Virginian Dr",1,1,N/A,36.895911,-76.208521,0.33,place,,,,,Norfolk,VA,"Norfolk City",23501,US,"TIGER/Line® dataset from the US Census Bureau"
1018718,"December 31, 2017","New Jersey",Annandale,"31 Petticoat Ln",0,1,N/A,40.650132,-74.867662,1,rooftop,31,"Petticoat Ln",,,Annandale,NJ,"Hunterdon County",08801,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
1018549,"December 31, 2017",Illinois,Rockford,"Albert Ave and Blaisdell St",0,1,N/A,42.282023,-89.119593,1,intersection,,"Albert Ave",,,Rockford,IL,"Winnebago County",61101,US,"TIGER/Line® dataset from the US Census Bureau"
1018580,"December 31, 2017",Illinois,Rockford,"1100 Greenwood Ave",0,0,N/A,42.272703,-89.079595,1,range_interpolation,1100,"Greenwood Ave",,,Rockford,IL,"Winnebago County",61107,US,"TIGER/Line® dataset from the US Census Bureau"
1018424,"December 31, 2017",Utah,Magna,"2665 S 8990 W",2,0,N/A,40.711674,-112.105893,1,rooftop,2665,"S 8990 W",,,Magna,UT,"Salt Lake County",84044,US,"Utah AGRC (and individual UT counties)"
1040084,"December 31, 2017",Pennsylvania,Millersville,"300 block of W Juniata Parkway",0,0,N/A,39.99788,-76.35413,0.33,place,,,,,Millersville,PA,"Lancaster County",17551,US,"TIGER/Line® dataset from the US Census Bureau"
1022893,"December 31, 2017",California,Stockton,"800 Block of DuPont Dr",0,0,N/A,37.672196,-121.298794,0.33,place,,,,,Stockton,CA,"San Joaquin County",95201,US,"TIGER/Line® dataset from the US Census Bureau"
1018405,"December 31, 2017",Louisiana,Shreveport,"Virginia Avenue",0,1,N/A,32.470512,-93.777702,1,street_center,,"Virginia Ave",,,Shreveport,LA,"Caddo Parish",71108,US,"TIGER/Line® dataset from the US Census Bureau"
1018104,"December 31, 2017",Illinois,Chicago,"11500 block of S State St",0,2,N/A,41.88531,-87.62213,0.33,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
1018396,"December 31, 2017",Louisiana,"New Orleans","North Villere Street and Gordon Street",0,1,N/A,29.963113,-90.010886,1,intersection,,"Gordon St",,,"New Orleans",LA,"Orleans Parish",70117,US,"TIGER/Line® dataset from the US Census Bureau"
1018101,"December 31, 2017",Illinois,Chicago,"1900 block of S Sawyer Ave",0,1,N/A,41.88531,-87.62213,0.33,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
1018378,"December 31, 2017",Ohio,Sandusky,"Hancock St and Reese St",0,0,N/A,41.450085,-82.704289,1,intersection,,"Hancock St",,,Sandusky,OH,"Erie County",44870,US,"TIGER/Line® dataset from the US Census Bureau"
1020462,"December 31, 2017",Illinois,Decatur,"S Oakland Ave",0,1,N/A,39.837309,-88.972806,1,street_center,,"S Oakland Ave",,,Decatur,IL,"Macon County",62522,US,"TIGER/Line® dataset from the US Census Bureau"
1017727,"December 31, 2017",Tennessee,Nashville,"I-65 and Trinity Ln",1,1,N/A,36.208292,-86.788938,0.8,intersection,,"State Rte 65",,,Nashville,TN,"Davidson County",37207,US,"TIGER/Line® dataset from the US Census Bureau"
1017724,"December 31, 2017",Tennessee,Madison,"201 E Palestine Ave",1,0,N/A,36.249748,-86.714879,1,rooftop,201,"E Palestine Ave",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
1020460,"December 31, 2017",Illinois,Decatur,"Grand Ave",0,1,N/A,39.854521,-88.97035,0.78,street_center,,"W Grand Ave",,,Decatur,IL,"Macon County",62522,US,"TIGER/Line® dataset from the US Census Bureau"
1017606,"December 31, 2017",Indiana,Indianapolis,"5300 Acorn Ln",1,0,N/A,39.856621,-86.253064,1,range_interpolation,5300,"Acorn Ln",,,Indianapolis,IN,"Marion County",46254,US,"TIGER/Line® dataset from the US Census Bureau"
1018307,"December 31, 2017",Mississippi,Magnolia,"1016 DL Jefferson Ln",1,0,N/A,31.143395,-90.403989,0.33,place,,,,,Magnolia,MS,"Pike County",39652,US,"TIGER/Line® dataset from the US Census Bureau"
1022743,"December 31, 2017",Maryland,Salisbury,"200 block of Winterborn Ln",0,0,N/A,38.382445,-75.633621,0.33,place,,,,,Salisbury,MD,"Wicomico County",21801,US,"TIGER/Line® dataset from the US Census Bureau"
1017477,"December 31, 2017",Kentucky,Louisville,"434 Eastern Pkwy",0,1,N/A,38.21141,-85.751877,1,rooftop,434,"Eastern Pkwy",,,Louisville,KY,"Jefferson County",40217,US,"Metro Louisville,  LOJIC partners"
1017406,"December 31, 2017",Virginia,Norfolk,"3700 block of Tait Terr",1,0,N/A,36.895911,-76.208521,0.33,place,,,,,Norfolk,VA,"Norfolk City",23501,US,"TIGER/Line® dataset from the US Census Bureau"
1017888,"December 31, 2017","District of Columbia",Washington,"3200 block of Georgia Ave NW",0,1,N/A,38.911936,-77.016719,0.33,place,,,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
1018928,"December 31, 2017","West Virginia",Morgantown,"1824 Cassville-Mount Morris Rd",0,2,N/A,39.709304,-80.062191,1,rooftop,1824,"Cassville Mount Morris Rd",,,Morgantown,WV,"Monongalia County",26501,US,Statewide
1018252,"December 31, 2017","South Carolina",Columbia,"Coley Rd and Pincushion Rd",1,0,N/A,33.898381,-80.920268,0.9,intersection,,"Coley Rd",,,Columbia,SC,"Richland County",29209,US,"TIGER/Line® dataset from the US Census Bureau"
1020322,"December 31, 2017",Illinois,Urbana,"1365 N Lincoln Ave",0,1,N/A,40.124868,-88.219627,1,range_interpolation,1365,"N Lincoln Ave",,,Urbana,IL,"Champaign County",61801,US,"TIGER/Line® dataset from the US Census Bureau"
1017648,"December 31, 2017",Mississippi,Byram,"131 Handley Boulevard",0,1,N/A,32.187019,-90.262899,0.64,nearest_rooftop_match,211,"Handley Blvd",,,Byram,MS,"Hinds County",39272,US,Hinds
